iD,N,mu,T,m,q,C2,err
0,50,0.3,0.575,0.0010800000000000002,0.00010240959999999999,13.847983709155823,0.26979342086441566
0,50,1.2,1.7,-0.0034679999999999993,0.00010925199999999999,1.7002717834557086,0.15758726658024447
0,50,1.9,1.475,0.004255999999999999,7.462239999999999e-05,7.072715311148045,0.20260226021387528
0,50,0.9,1.625,-0.000804,0.00010589999999999999,1.474748288738765,0.166991401959134
0,50,1.1,0.875,0.0025679999999999995,6.78048e-05,3.515214484035848,0.14435656663531285
0,50,0.8,2.0,0.0009999999999999998,8.004319999999999e-05,1.3204884355696829,0.18497135164861017
0,50,0.4,0.65,-0.002216,9.07232e-05,7.0912350352981415,0.16760167286625557
0,50,1.3,1.175,-0.007976,0.00021681119999999998,3.0275229835140554,0.15758305707104686
0,50,2.0,1.025,-0.008164,0.0002153256,14.298023289987869,0.337451863411174
0,50,0.8,0.95,-0.0012680000000000002,7.27128e-05,3.2342527201014577,0.14055805498739082
0,50,0.5,1.925,2.400000000000002e-05,8.569280000000001e-05,1.33061702870813,0.17555216162292825
0,50,0.9,1.25,0.003848,7.09456e-05,2.251349786233417,0.15219245438619178
0,50,0.4,1.475,0.0010959999999999998,9.02144e-05,2.219162924484206,0.16456315914049807
0,50,1.5,0.875,0.000192,6.0247999999999996e-05,11.06734552314913,0.2413221293181702
0,50,1.6,1.7,0.0006720000000000001,8.144639999999998e-05,1.8171492726874883,0.172213112316798
0,50,0.4,1.4,0.0006720000000000001,8.574079999999999e-05,1.825035112652339,0.15342558203408413
0,50,0.1,1.925,0.00047200000000000003,9.111999999999998e-05,1.3850890557352966,0.1735652952364508
0,50,1.8,1.025,0.06761600000000001,0.005054972800000001,27.682219388001602,0.7229140503585801
0,50,0.0,1.325,-0.00022799999999999988,5.5624799999999996e-05,2.2005529303648625,0.1558270119017252
0,50,1.7,1.175,-0.004104,0.00010195359999999999,8.98279326377725,0.20601078392120686
0,50,0.7,0.65,0.00023199999999999943,0.0009632528,17.010322413556842,0.4492734052946496
0,50,0.0,0.95,0.00023599999999999988,7.040240000000001e-05,2.7158926570674633,0.13528069616532912
0,50,0.3,1.475,0.0010559999999999999,9.5752e-05,1.7302135476338267,0.1550698838328735
0,50,1.2,0.875,0.0032160000000000005,9.084960000000001e-05,5.325774555588984,0.17033159426503017
0,50,1.1,1.7,-4.400000000000017e-05,0.000131556,1.509102845531775,0.16316848162295505
0,50,0.0,1.925,-0.0009440000000000003,8.507680000000001e-05,1.2942895284543703,0.17755070207757742
0,50,0.3,1.4,-0.0023639999999999998,9.25416e-05,1.7469906167906786,0.1571183079595963
