iD,N,mu,T,tau,err
0,50,1.2,1.1,0.4272255584970972,0.1458812721157827
0,50,1.0,1.25,0.42851908176352926,0.1568871741892359
0,50,0.9,1.85,0.42664547036340833,0.17132686557197943
0,50,0.5,1.325,0.42866875954004896,0.14367058674283087
0,50,0.3,1.55,0.43164143491559986,0.1523385461567828
0,50,1.4,0.8,0.4306420357563464,0.17733779794165277
0,50,0.0,0.65,0.507160784741191,0.2642412978928247
0,50,0.5,0.575,0.832838530902633,0.35703469038151786
0,50,1.3,1.55,0.4250173294729582,0.16267021057808878
0,50,0.0,1.625,0.4286639585197567,0.1685694494533108
0,50,1.8,1.625,0.4276093646664606,0.15894044424706824
0,50,2.0,1.4,0.462475470245,0.3126602810352462
0,50,1.7,1.775,0.42604967513349,0.17805462654106374
0,50,0.5,0.5,1.0610424586424259,3.4201606864892793
0,50,1.4,1.25,0.4290629465148894,0.16699981368451938
0,50,1.2,2.0,0.42951460485656323,0.17591017838233441
0,50,1.6,1.1,1.0145780393085355,0.41584923876790053
0,50,1.2,1.325,0.42901946805757013,0.1563687941536002
0,50,1.8,0.65,5579.781904290011,270.73522667387874
0,50,0.2,1.325,0.4270686324604899,0.14282013967571988
0,50,0.4,1.55,0.429569548121508,0.15998716332048407
0,50,1.3,0.8,0.4293354460792055,0.18011958258963276
0,50,0.2,0.575,0.4276659016811928,0.20884409518889274
0,50,2.0,0.95,776.3305561160481,1.116031693366676
0,50,1.4,1.55,0.43232402233762807,0.16151567805157735
0,50,0.2,0.5,0.45341853158757495,0.20584575481985043
0,50,1.0,1.775,0.4286376499485146,0.16390237219699197
0,50,0.0,1.55,0.4287259112581481,0.1644847756253974
0,50,2.0,1.925,0.42561595796089513,0.19980495251425257
0,50,1.3,1.25,0.4270922074515766,0.14635408904224473
0,50,1.5,2.0,0.4302917949702067,0.1886771930794291
0,50,1.1,1.1,0.42522491412509816,0.16066919181051342
0,50,1.5,1.325,0.43144692803127854,0.1829822292330255
0,50,1.9,0.725,5505.4780427240285,463.2403072354729
0,50,0.9,1.775,0.4299017895340689,0.17021250701106735
0,50,0.6,0.5,0.5327115965548329,0.23075328403081888
0,50,1.4,1.775,0.4223819578152746,0.18366704229908754
0,50,1.0,1.55,0.42858300349960127,0.1593289812016339
0,50,0.9,1.7,0.42947057352340423,0.16370402675892673
0,50,1.7,0.8,32.92796656907153,0.9138071822434333
0,50,0.6,0.575,0.676893474333909,0.3401859840984451
0,50,1.8,0.95,0.5032634796419154,0.25441145598565035
0,50,0.6,1.325,0.4295527079541618,0.14446198571742921
0,50,0.0,0.575,0.4569576215406891,0.23226164181285072
0,50,0.8,0.8,0.428956978276122,0.15278726243760457
0,50,1.9,0.5,6059.155574327771,49.37452804889178
0,50,0.8,0.875,0.42904118991147,0.14282337560905173
0,50,1.1,1.325,0.4275386602200636,0.14941335156764848
0,50,1.1,2.0,0.43004644061066033,0.18273821429909543
0,50,1.5,1.1,0.43018530956385137,0.1550722815548201
0,50,1.7,1.25,0.4283946209181838,0.19992711511341013
0,50,1.8,1.925,0.42935012578994547,0.18665050751972692
0,50,1.6,1.175,1.0308608215693427,0.4001210286670706
0,50,1.9,1.025,1.9372208096000048,0.4932439900276949
0,50,2.0,1.475,0.4289295850255049,0.17998202074314015
0,50,1.7,1.7,0.42865344374113445,0.16184906953240433
0,50,0.5,1.4,0.42656143152432685,0.15462582927107926
0,50,0.5,1.475,0.4298890711251451,0.1624083776524986
0,50,0.8,1.25,0.4308349708800567,0.13613486352425896
